frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;erklaerung;typ
Was bedeutet eine rote Ampel?;Langsam gehen;Schnell laufen;Tanzen;Stehen bleiben;D;1;5;8;Bei Rot müssen alle stehen bleiben. Das ist die wichtigste Regel!;basic
Was bedeutet eine grüne Ampel für Fußgänger?;Du darfst gehen;Du darfst nicht gehen;Du musst rennen;Du musst warten;A;1;5;8;Grün bedeutet: Du darfst jetzt sicher über die Straße gehen.;basic
Welche Farbe hat die Ampel wenn du warten musst?;Lila;Rot;Blau;Grün;B;1;5;8;Rot bedeutet immer: Warten und stehen bleiben!;basic
Was machst du bei einer gelben Ampel?;Zurück gehen;Vorbereiten und warten;Schnell rennen;Hüpfen;B;1;5;8;Gelb bedeutet: Die Ampel wechselt gleich. Bereite dich vor!;basic
Wie viele Farben hat eine normale Ampel?;5;2;4;3;D;1;5;8;Eine Ampel hat 3 Farben: Rot, Gelb und Grün.;basic
Wofür ist ein Zebrastreifen da?;Zum sicheren Überqueren der Straße;Zum Spielen;Für Zebras;Zum Malen;A;1;5;8;Der Zebrastreifen hilft dir, sicher über die Straße zu kommen.;basic
Warum heißt der Zebrastreifen so?;Weil er in Afrika ist;Weil Zebras ihn erfunden haben;Weil er gestreift klingt;Wegen der schwarz-weißen Streifen;D;1;5;8;Die schwarz-weißen Streifen sehen aus wie das Fell eines Zebras.;basic
Was musst du am Zebrastreifen tun bevor du gehst?;Nach links und rechts schauen;Singen;Die Augen schließen;Rückwärts gehen;A;1;5;8;Schau immer erst nach links, dann nach rechts, ob kein Auto kommt.;basic
Wer hat Vorrang am Zebrastreifen?;Fußgänger;Fahrräder;Autos;Busse;A;1;5;8;Am Zebrastreifen haben Fußgänger immer Vorrang. Autos müssen anhalten.;basic
Welches Fahrzeug hat ein Blaulicht?;Taxi;Polizeiauto;Fahrrad;Bus;B;1;5;8;Polizei, Feuerwehr und Krankenwagen haben Blaulicht für Notfälle.;basic
Was macht die Feuerwehr?;Macht Musik;Baut Häuser;Löscht Brände und hilft Menschen;Verkauft Eis;C;1;5;8;Die Feuerwehr löscht Feuer und rettet Menschen in Not.;basic
Welche Farbe hat ein Feuerwehrauto?;Gelb;Rot;Grün;Blau;B;1;5;8;Feuerwehrautos sind rot, damit man sie gut sehen kann.;basic
Was ist ein Krankenwagen?;Ein Auto das kranke Menschen ins Krankenhaus bringt;Ein Auto für Hunde;Ein Spielzeugauto;Ein Rennauto;A;1;5;8;Der Krankenwagen bringt kranke oder verletzte Menschen schnell ins Krankenhaus.;basic
Wie viele Räder hat ein Fahrrad?;3;2;1;4;B;1;5;8;Ein Fahrrad hat 2 Räder - eins vorne und eins hinten.;basic
Wie viele Räder hat ein Auto?;3;6;2;4;D;1;5;8;Ein normales Auto hat 4 Räder.;basic
Wo gehst du am sichersten auf der Straße?;Auf der Straße;Auf dem Fahrradweg;Zwischen den Autos;Auf dem Gehweg;D;1;5;8;Der Gehweg ist für Fußgänger da - dort bist du sicher vor Autos.;basic
Was trägst du damit Autofahrer dich gut sehen?;Helle oder leuchtende Kleidung;Dunkle Kleidung;Keine Kleidung;Einen Hut;A;1;5;8;Helle und leuchtende Kleidung macht dich für Autofahrer sichtbar.;basic
Warum ist ein Reflektor wichtig?;Er leuchtet im Dunkeln wenn Licht darauf scheint;Er macht Musik;Er riecht gut;Er ist schön;A;1;5;8;Reflektoren werfen das Licht von Autoscheinwerfern zurück - so wirst du gesehen.;basic
An wessen Hand gehst du über die Straße?;An der Hand von Mama oder Papa;Mit einem Fremden;Alleine;Mit dem Hund;A;1;5;8;Kleine Kinder gehen immer an der Hand eines Erwachsenen über die Straße.;basic
Darf man auf der Straße spielen?;Ja immer;Nein das ist gefährlich;Nur wenn es dunkel ist;Nur mit Ball;B;1;5;8;Auf der Straße spielen ist verboten und sehr gefährlich wegen der Autos.;basic
Was bedeutet dieses Zeichen: 🚶?;Hier dürfen Fußgänger gehen;Hier dürfen Autos fahren;Hier ist ein Zoo;Hier ist ein Spielplatz;A;1;5;8;Das Zeichen mit dem gehenden Menschen zeigt einen Fußgängerweg.;basic
Warum darfst du nicht zwischen geparkten Autos auf die Straße laufen?;Weil Autofahrer dich nicht sehen können;Weil es verboten ist zu laufen;Weil Autos schmutzig sind;Weil es dort kalt ist;A;1;5;8;Zwischen Autos bist du für andere Autofahrer unsichtbar - sehr gefährlich!;basic
Was machst du wenn ein Ball auf die Straße rollt?;Einen Erwachsenen um Hilfe bitten;Sofort hinterherlaufen;Den Ball vergessen;Weinen;A;1;5;8;Nie alleine auf die Straße laufen! Frag immer einen Erwachsenen.;basic
Wo wartest du auf den Bus?;An der Bushaltestelle;Auf der Straße;Im Bus;Zu Hause;A;1;5;8;An der Bushaltestelle ist ein sicherer Wartebereich für den Bus.;basic
Was ist ein Bürgersteig?;Der Weg neben der Straße für Fußgänger;Ein Stein;Eine Bank;Ein Haus;A;1;5;8;Der Bürgersteig oder Gehweg ist der sichere Bereich für Fußgänger.;basic
Was bedeutet ein rundes rotes Schild mit weißem Balken?;Einfahrt verboten;Schnell fahren;Parken erlaubt;Hier gibt es Eis;A;2;7;10;Dieses Schild bedeutet: Hier darfst du nicht hineinfahren.;basic
Was bedeutet ein dreieckiges Schild mit rotem Rand?;Achtung Gefahr oder Warnung;Hier ist es schön;Hier darfst du schnell fahren;Hier ist ein Spielplatz;A;2;7;10;Dreieckige Schilder mit rotem Rand warnen vor einer Gefahr.;basic
Was bedeutet ein blaues rundes Schild?;Ein Gebot - das musst du tun;Ein Verbot;Eine Warnung;Nichts Besonderes;A;2;7;10;Blaue runde Schilder zeigen Gebote - zum Beispiel Radweg benutzen.;basic
Was zeigt das Schild mit einem Fahrrad?;Hier ist ein Fahrradweg;Fahrräder verboten;Fahrradladen;Fahrrad parken;A;2;7;10;Ein blaues Schild mit Fahrrad zeigt: Hier ist der Radweg.;basic
Was bedeutet das Stoppschild?;Anhalten und schauen;Schnell weiterfahren;Hupen;Winken;A;2;7;10;Am Stoppschild musst du immer komplett anhalten.;basic
Auf welcher Seite fährst du mit dem Fahrrad?;Auf der rechten Seite;Auf der linken Seite;In der Mitte;Mal hier mal dort;A;2;7;10;In Deutschland fährt man immer rechts - auch mit dem Fahrrad.;basic
Was muss ein verkehrssicheres Fahrrad haben?;Licht Bremsen und Klingel;Nur eine Klingel;Einen Motor;Nichts davon;A;2;7;10;Licht vorne und hinten, zwei Bremsen und eine Klingel sind Pflicht.;basic
Warum ist ein Fahrradhelm wichtig?;Er schützt deinen Kopf bei einem Sturz;Er sieht cool aus;Er hält warm;Er macht schneller;A;2;7;10;Der Helm schützt deinen Kopf bei Unfällen vor schlimmen Verletzungen.;basic
Darfst du zu zweit auf einem Fahrrad fahren?;Nein nur mit speziellem Kindersitz;Ja immer;Nur bergab;Nur wenn es regnet;A;2;7;10;Auf normalen Fahrrädern darf nur eine Person fahren. Für Kinder gibt es spezielle Sitze.;basic
Was machst du mit der Hand beim Abbiegen mit dem Fahrrad?;Arm ausstrecken in die Richtung;Winken;Klatschen;Nichts;A;2;7;10;Strecke den Arm in die Richtung aus, in die du abbiegen willst.;basic
Warum ist der kürzeste Schulweg nicht immer der beste?;Weil der sicherste Weg wichtiger ist;Weil er langweilig ist;Weil er zu schnell ist;Weil er schmutzig ist;A;2;7;10;Ein sicherer Schulweg mit Ampeln und Zebrastreifen ist besser als ein kurzer gefährlicher Weg.;basic
Was ist ein Schülerlotse?;Eine Person die Kindern beim Überqueren hilft;Ein Lehrer;Ein Polizist;Ein Busfahrer;A;2;7;10;Schülerlotsen helfen Kindern sicher über die Straße zu kommen.;basic
Warum sollst du morgens früh genug losgehen?;Damit du nicht hetzen musst und aufmerksam bist;Damit du müde wirst;Damit du frierst;Damit du alleine bist;A;2;7;10;Wer hetzt, achtet nicht auf den Verkehr. Lieber früh und sicher!;basic
Was machst du wenn der Schulbus kommt?;Warten bis er steht und die Tür offen ist;Sofort auf die Straße laufen;Dem Bus nachlaufen;Den Bus anschreien;A;2;7;10;Erst wenn der Bus steht und die Tür offen ist, darfst du einsteigen.;basic
Warum darfst du nicht hinter dem Bus über die Straße laufen?;Weil dich die Autos nicht sehen können;Weil der Bus schmutzig ist;Weil es verboten ist zu laufen;Weil der Bus dann wegfährt;A;2;7;10;Hinter dem Bus bist du für andere Autofahrer nicht sichtbar.;basic
Was bedeutet es wenn ein Auto blinkt?;Das Auto will abbiegen;Das Auto ist kaputt;Das Auto hupt;Das Auto bremst;A;2;7;10;Der Blinker zeigt an, dass das Auto die Richtung ändern will.;basic
Wann musst du besonders vorsichtig sein?;Bei Regen und Dunkelheit;Bei Sonnenschein;Am Wochenende;Im Sommer;A;2;7;10;Bei schlechtem Wetter sehen Autofahrer weniger und Bremswege sind länger.;basic
Was ist ein toter Winkel?;Ein Bereich den der Fahrer nicht sehen kann;Eine Straßenecke;Ein kaputtes Auto;Eine Kreuzung;A;2;7;10;Im toten Winkel kann dich der Fahrer auch im Spiegel nicht sehen.;basic
Warum darfst du nicht am Handy spielen wenn du gehst?;Weil du dann nicht auf den Verkehr achtest;Weil das Handy kaputt geht;Weil es kalt ist;Weil es dunkel wird;A;2;7;10;Wer aufs Handy schaut, bemerkt Autos und Gefahren nicht.;basic
Was bedeuten weiße Streifen auf der Straße?;Hier ist der Fahrbahnrand oder Zebrastreifen;Hier ist es sauber;Hier darfst du spielen;Hier ist ein Parkplatz;A;2;7;10;Weiße Streifen markieren wichtige Bereiche wie Zebrastreifen oder Fahrspuren.;basic
Was bedeutet das Schild Vorfahrt gewähren?;Andere Fahrzeuge zuerst lassen;Du hast Vorfahrt;Schneller fahren;Anhalten verboten;A;3;9;12;Das Dreieck auf der Spitze bedeutet: Warte und lass andere zuerst fahren.;basic
Was bedeutet ein gelbes Schild mit schwarzem Kreuz?;Kreuzung mit Vorfahrtsstraße;Kirche in der Nähe;Erste Hilfe;Verboten;A;3;9;12;Dieses Schild warnt vor einer Kreuzung, auf der besondere Regeln gelten.;basic
Was bedeutet das Verkehrszeichen Zone 30?;Hier gilt Tempo 30;30 Autos erlaubt;30 Meter bis zum Ziel;Ab 30 Jahren erlaubt;A;3;9;12;In Zone-30-Bereichen darf man maximal 30 km/h fahren - oft vor Schulen.;basic
Was zeigt das Schild mit einem durchgestrichenen P?;Parken verboten;Parkplatz hier;Polizei;Post;A;3;9;12;Durchgestrichenes P bedeutet: Hier darfst du nicht parken.;basic
Was bedeutet ein Schild mit Schneeflocke?;Achtung Glättegefahr im Winter;Hier gibt es Eis zu kaufen;Skigebiet;Kühles Gebiet;A;3;9;12;Dieses Schild warnt vor Glätte durch Schnee oder Eis.;basic
Wer hat Vorfahrt an einer Kreuzung ohne Schilder?;Wer von rechts kommt;Wer von links kommt;Wer schneller ist;Wer größer ist;A;3;9;12;Rechts vor links: Fahrzeuge von rechts haben Vorfahrt.;basic
Was bedeutet die Regel rechts vor links?;Wer von rechts kommt hat Vorfahrt;Rechte Hand vor linker Hand;Rechts ist besser als links;Man fährt immer rechts;A;3;9;12;An Kreuzungen ohne Schilder: Das Fahrzeug von rechts darf zuerst.;basic
Wann gilt rechts vor links nicht?;Auf Vorfahrtsstraßen oder bei Schildern;Nie;Immer bei Regen;Am Wochenende;A;3;9;12;Vorfahrtsschilder oder Ampeln ersetzen die rechts-vor-links-Regel.;basic
Was ist eine Vorfahrtsstraße?;Eine Straße auf der du immer Vorfahrt hast;Eine besonders breite Straße;Eine Straße mit Shops;Eine Einbahnstraße;A;3;9;12;Auf einer Vorfahrtsstraße musst du anderen nicht die Vorfahrt geben.;basic
Wer hat Vorfahrt im Kreisverkehr?;Wer im Kreisverkehr fährt;Wer einfahren will;Wer am schnellsten ist;Wer am größten ist;A;3;9;12;Fahrzeuge im Kreisverkehr haben immer Vorfahrt vor einfahrenden.;basic
Warum ist Abstand zum Vordermann wichtig?;Um bei Bremsung nicht aufzufahren;Um besser zu sehen;Um zu überholen;Wegen der Luft;A;3;9;12;Mit genug Abstand kannst du rechtzeitig bremsen wenn das Auto vor dir bremst.;basic
Wie lang ist der Bremsweg bei nasser Straße?;Viel länger als bei trockener Straße;Genau gleich;Kürzer;Nur etwas länger;A;3;9;12;Auf nasser Straße kann der Bremsweg doppelt so lang werden!;basic
Was ist der Reaktionsweg?;Die Strecke bis man reagiert;Der Weg zur Arbeit;Der kürzeste Weg;Der Weg nach der Bremsung;A;3;9;12;Der Reaktionsweg ist die Strecke, die man fährt bis man überhaupt bremst.;basic
Aus welchen Teilen besteht der Anhalteweg?;Reaktionsweg plus Bremsweg;Nur aus dem Bremsweg;Aus der Geschwindigkeit;Aus dem Benzinverbrauch;A;3;9;12;Anhalteweg = Reaktionsweg (bis man bremst) + Bremsweg (bis man steht).;basic
Was ist eine Einbahnstraße?;Eine Straße in der man nur in eine Richtung fahren darf;Eine Straße für ein Auto;Eine schmale Straße;Eine Straße ohne Ausfahrt;A;3;9;12;In Einbahnstraßen dürfen alle Fahrzeuge nur in eine Richtung fahren.;basic
Was bedeutet ein Schild mit durchgestrichenem Pfeil?;In diese Richtung fahren verboten;Pfeil nicht beachten;Schneller fahren;Langsamer fahren;A;3;9;12;Der durchgestrichene Pfeil verbietet das Fahren in diese Richtung.;basic
Was ist ein Seitenstreifen?;Der Bereich neben der Fahrbahn;Ein Streifen Papier;Die Mitte der Straße;Ein Zebrastreifen;A;3;9;12;Der Seitenstreifen ist für Pannen oder Notfälle - nicht zum Fahren.;basic
Was ist eine Spielstraße?;Ein verkehrsberuhigter Bereich;Eine Straße zum Spielen;Ein Spielplatz;Eine Rennstrecke;A;3;9;12;In Spielstraßen (verkehrsberuhigt) haben Fußgänger Vorrang, Tempo ist Schritt.;basic
Was ist die StVO?;Die Straßenverkehrsordnung;Ein Automodell;Eine Stadt;Ein Führerscheintyp;A;3;11;14;Die StVO enthält alle Regeln für den Straßenverkehr in Deutschland.;basic
Ab welchem Alter darf man in Deutschland Auto fahren?;18 Jahre (bzw. 17 mit Begleitung);16 Jahre;21 Jahre;14 Jahre;A;3;11;14;Der Führerschein Klasse B ist ab 18 möglich, begleitetes Fahren ab 17.;basic
Ab welchem Alter darf man alleine Mofa fahren?;15 Jahre;14 Jahre;16 Jahre;18 Jahre;A;3;11;14;Mit 15 Jahren darf man den Mofaführerschein machen.;basic
Was ist die Promillegrenze für Fahranfänger?;0,0 Promille;0,3 Promille;0,5 Promille;0,8 Promille;A;3;11;14;Für Fahranfänger in der Probezeit gilt absolutes Alkoholverbot.;basic
Was ist die allgemeine Promillegrenze für erfahrene Autofahrer?;0,5 Promille;0,0 Promille;0,8 Promille;1,0 Promille;A;3;11;14;Ab 0,5 Promille drohen Strafen, bei Auffälligkeiten schon früher.;basic
Was ist die Notrufnummer in Europa?;112;110;911;999;A;3;11;14;Die 112 ist der europaweite Notruf für Feuerwehr und Rettungsdienst.;basic
Was bedeutet die Abkürzung für die stabile Seitenlage?;Eine Lagerung für Bewusstlose die atmen;Eine Schlafposition;Eine Sportübung;Eine Sitzposition;A;3;11;14;Die stabile Seitenlage schützt Bewusstlose vor dem Ersticken.;basic
Was prüfst du zuerst bei einem Verletzten?;Ob er bei Bewusstsein ist und atmet;Ob er einen Ausweis hat;Welches Auto er fährt;Wie alt er ist;A;3;11;14;Bewusstsein und Atmung sind die wichtigsten Vitalzeichen.;basic
Was gehört in einen Verbandskasten im Auto?;Verbände, Pflaster, Handschuhe, Schere;Nur Pflaster;Medikamente;Essen und Trinken;A;3;11;14;Der Verbandskasten enthält alles für die Erstversorgung bei Unfällen.;basic
Was musst du nach einem Unfall mit Verletzten tun?;Unfallstelle sichern und Notruf wählen;Weiterfahren;Fotos machen;Die Polizei suchen;A;3;11;14;Sichern, Notruf, Erste Hilfe - in dieser Reihenfolge.;basic
Welche Fahrzeuge dürfen auf dem Radweg fahren?;Fahrräder und E-Scooter;Autos;Motorräder;LKWs;A;3;11;14;Der Radweg ist für Fahrräder und erlaubte Kleinstfahrzeuge wie E-Scooter.;basic
Ab welchem Alter darf man E-Scooter fahren?;14 Jahre;12 Jahre;16 Jahre;18 Jahre;A;3;11;14;E-Scooter dürfen ab 14 Jahren ohne Führerschein gefahren werden.;basic
Braucht man für einen E-Scooter einen Führerschein?;Nein aber eine Versicherung;Ja Klasse B;Ja Klasse M;Nein gar nichts;A;3;11;14;E-Scooter brauchen keinen Führerschein aber eine Haftpflichtversicherung.;basic
Wo darf man mit dem E-Scooter fahren?;Auf Radwegen und Straßen;Auf dem Gehweg;Überall;Nur auf Privatgrund;A;3;11;14;E-Scooter gehören auf Radwege, nicht auf Gehwege oder in Fußgängerzonen.;basic
Was ist der Unterschied zwischen Moped und Mofa?;Mofa max 25 kmh, Moped max 45 kmh;Kein Unterschied;Mofa ist schneller;Moped hat keine Pedale;A;3;11;14;Mofa: max 25 km/h. Moped/Roller: max 45 km/h mit anderem Führerschein.;basic
Was ist ein Katalysator im Auto?;Ein Gerät das Abgase reinigt;Ein Zusatztank;Eine Klimaanlage;Ein Radio;A;3;11;14;Der Katalysator wandelt giftige Abgase in weniger schädliche Stoffe um.;basic
Was bedeutet eine Umweltplakette?;Sie zeigt die Schadstoffklasse des Autos;Sie zeigt den Besitzer;Sie ist Dekoration;Sie zeigt das Alter;A;3;11;14;Ohne passende Umweltplakette darf man nicht in Umweltzonen fahren.;basic
Was ist eine Umweltzone?;Ein Bereich mit Fahrverbot für bestimmte Autos;Ein Park;Ein Naturschutzgebiet;Ein Waldgebiet;A;3;11;14;In Umweltzonen dürfen nur Autos mit passender Plakette fahren.;basic
Warum ist Fahrgemeinschaft gut für die Umwelt?;Weniger Autos bedeutet weniger Abgase;Autos fahren schneller;Es macht mehr Spaß;Autos sind billiger;A;3;11;14;Wenn sich 4 Personen ein Auto teilen, sparen alle CO2 und Geld.;basic
Welche Führerscheinklasse braucht man für ein Auto?;Klasse B;Klasse A;Klasse C;Klasse M;A;4;14;18;Führerschein Klasse B berechtigt zum Fahren von PKWs bis 3,5 Tonnen.;basic
Wie lange dauert die Probezeit nach dem Führerschein?;2 Jahre;1 Jahr;3 Jahre;6 Monate;A;4;14;18;Die Probezeit dauert 2 Jahre und wird bei Verstößen verlängert.;basic
Was passiert bei einem schweren Verstoß in der Probezeit?;Probezeit verlängert sich und Aufbauseminar nötig;Nichts;Nur Geldstrafe;Führerschein weg;A;4;14;18;Schwere Verstöße führen zur Verlängerung auf 4 Jahre plus Nachschulung.;basic
Was ist begleitetes Fahren?;Fahren ab 17 mit erfahrenem Beifahrer;Fahren mit Fahrlehrer;Fahren im Konvoi;Fahren mit GPS;A;4;14;18;BF17: Ab 17 darf man mit eingetragener Begleitperson Auto fahren.;basic
Welche Voraussetzungen muss die Begleitperson beim BF17 erfüllen?;30 Jahre alt, 5 Jahre Führerschein, max 1 Punkt;Nur über 18;Fahrlehrer sein;Verwandtschaft;A;4;14;18;Mindestens 30 Jahre, 5 Jahre Fahrpraxis, maximal 1 Punkt in Flensburg.;basic
Was ist eine Rettungsgasse?;Eine Gasse für Rettungsfahrzeuge bei Stau;Ein Krankenhaus;Eine Notaufnahme;Ein Parkplatz;A;4;14;18;Bei Stau auf Autobahnen müssen alle eine Gasse für Rettungsdienste bilden.;basic
Wann muss man eine Rettungsgasse bilden?;Sobald der Verkehr stockt;Erst bei Unfall;Nur wenn Blaulicht kommt;Nie;A;4;14;18;Sofort wenn der Verkehr ins Stocken gerät - nicht erst beim Stillstand!;basic
Wo bildet man die Rettungsgasse auf einer zweispurigen Autobahn?;Zwischen den beiden Spuren;Ganz rechts;Ganz links;Auf dem Standstreifen;A;4;14;18;Linke Spur nach links, rechte Spur nach rechts - Gasse in der Mitte.;basic
Wo bildet man die Rettungsgasse bei drei Spuren?;Zwischen linker und mittlerer Spur;Zwischen allen Spuren;Ganz rechts;Auf jeder Spur eine;A;4;14;18;Immer zwischen der ganz linken und der nächsten Spur.;basic
Was droht bei Nichtbilden einer Rettungsgasse?;Hohe Geldstrafe und Fahrverbot;Nur Ermahnung;Nichts;1 Euro;A;4;14;18;Mindestens 200 Euro Strafe, 2 Punkte, bei Behinderung bis zu 320 Euro plus Fahrverbot.;basic
Was ist Fahrerflucht?;Sich vom Unfallort entfernen ohne Daten zu hinterlassen;Schnell fahren;Vor der Polizei flüchten;Im Stau wenden;A;4;14;18;Wer einen Unfall verursacht und wegfährt, begeht eine Straftat.;basic
Welche Versicherung ist für Autos Pflicht?;Kfz-Haftpflichtversicherung;Vollkasko;Teilkasko;Unfallversicherung;A;4;14;18;Die Haftpflicht deckt Schäden bei anderen - sie ist gesetzlich vorgeschrieben.;basic
Was deckt die Teilkaskoversicherung ab?;Diebstahl, Hagel, Wildunfall;Alle eigenen Schäden;Nur fremde Schäden;Nur Personenschäden;A;4;14;18;Teilkasko: Schäden durch äußere Einflüsse wie Wetter, Tiere, Diebstahl.;basic
Was deckt die Vollkaskoversicherung zusätzlich?;Selbstverschuldete Unfälle am eigenen Auto;Nichts zusätzlich;Nur Reparaturen;Benzinkosten;A;4;14;18;Vollkasko zahlt auch bei selbst verschuldeten Schäden am eigenen Fahrzeug.;basic
Wie schnell darf man innerorts fahren?;50 km/h;30 km/h;70 km/h;60 km/h;A;4;14;18;Innerorts gilt generell Tempo 50, außer es ist anders beschildert.;basic
Wie schnell darf man außerorts auf Landstraßen fahren?;100 km/h;80 km/h;120 km/h;70 km/h;A;4;14;18;Auf Landstraßen gilt für PKWs maximal 100 km/h.;basic
Gibt es auf deutschen Autobahnen ein generelles Tempolimit?;Nein nur Richtgeschwindigkeit 130;Ja 130 km/h;Ja 150 km/h;Ja 120 km/h;A;4;14;18;Auf deutschen Autobahnen gibt es kein generelles Limit, empfohlen sind 130 km/h.;basic
Was ist die Richtgeschwindigkeit auf der Autobahn?;130 km/h;120 km/h;150 km/h;100 km/h;A;4;14;18;Die Richtgeschwindigkeit ist eine Empfehlung - bei Unfällen über 130 kann Mithaftung drohen.;basic
Was ist ESP im Auto?;Elektronisches Stabilitätsprogramm;Elektrische Servolenkung;Extra Sicherheits Paket;Elektronik Spar Programm;A;4;14;18;ESP verhindert das Schleudern des Autos durch gezieltes Abbremsen einzelner Räder.;basic
Was ist ABS?;Antiblockiersystem für die Bremsen;Auto Brems System;Automatische Beschleunigung;Anti Beschleunigungs System;A;4;14;18;ABS verhindert das Blockieren der Räder beim Bremsen - man kann weiter lenken.;basic
Wie viele Punkte darf man maximal in Flensburg haben?;8 Punkte;10 Punkte;12 Punkte;5 Punkte;A;4;14;18;Bei 8 Punkten wird der Führerschein entzogen.;basic
Was passiert bei 8 Punkten in Flensburg?;Führerscheinentzug;Nur Warnung;Geldstrafe;Nachschulung;A;4;14;18;Bei 8 Punkten ist der Führerschein weg - mindestens 6 Monate Sperre.;basic
Wann verjähren Punkte in Flensburg?;Nach 2,5 bis 10 Jahren je nach Schwere;Nie;Nach 1 Jahr;Nach 5 Jahren immer;A;4;14;18;Leichte Verstöße: 2,5 Jahre. Schwere: 5 Jahre. Straftaten: 10 Jahre.;basic
Ab wie viel km/h Überschreitung innerorts droht Fahrverbot?;Ab 31 km/h zu schnell;Ab 20 km/h;Ab 50 km/h;Ab 10 km/h;A;4;14;18;Ab 31 km/h zu schnell innerorts: 2 Punkte und 1 Monat Fahrverbot.;basic
Was ist ein Totwinkel-Assistent?;Ein System das vor Fahrzeugen im toten Winkel warnt;Ein Spiegel;Eine Kamera;Ein Beifahrer;A;4;14;18;Sensoren erkennen Fahrzeuge im toten Winkel und warnen den Fahrer.;basic
Was ist adaptiver Tempomat?;Tempomat der Abstand zum Vordermann hält;Normaler Tempomat;Klimaanlage;Navigationsgerät;A;4;14;18;ACC passt die Geschwindigkeit automatisch an den Vordermann an.;basic
Was ist ein Notbremsassistent?;System das automatisch bremst bei Gefahr;Handbremse;Zusatzbremse;Bremsflüssigkeit;A;4;14;18;Der Notbremsassistent erkennt Hindernisse und bremst wenn der Fahrer nicht reagiert.;basic
Was bedeutet autonomes Fahren Level 3?;Das Auto fährt selbst, Fahrer muss aber eingreifen können;Komplett selbstfahrend;Gar nicht selbstfahrend;Nur Einparken;A;4;14;18;Level 3: Hochautomatisiert - das Auto übernimmt, Fahrer bleibt in Bereitschaft.;basic